key	english	french	russian	bulgarian
Conversations/Festival Lines/Dell/shooting_star/shooting_star_evening/3	And I bet we only need one to make a star sword!	Et je parie qu'une seule devrait suffire pour fabriquer une épée étoilée !	И наверняка одной хватит, чтобы сделать звёздный меч!	And I bet we only need one to make a star sword!
Conversations/Festival Lines/Dell/shooting_star/shooting_star_evening/init	Aren't the stars cool, [Ari]?	Les étoiles sont trop géniales, tu trouves pas, [Ari] ?	Звёзды такие крутые, да, [Ari]?	Aren't the stars cool, [Ari]?
Conversations/Festival Lines/Dell/shooting_star/shooting_star_follow_up/1	I still haven't found any fallen stars yet...	J'ai encore trouvé aucune étoile filante...	Я до сих пор не нашла ни одной упавшей звезды.	I still haven't found any fallen stars yet...
Conversations/Festival Lines/Dell/shooting_star/shooting_star_follow_up/2	But I'm not going to give up!	Mais je n'abandonne pas !	Но я не сдаюсь!	But I'm not going to give up!
Conversations/Festival Lines/Dell/shooting_star/shooting_star_follow_up/init	Ugh...	Pfff...	Эх...	Ugh...
Conversations/Festival Lines/Dell/spring_festival/made_tea/1	Don't just try adding your own though... trust me.	Mais n'essaie pas d'en ajouter toi-même... Fais-moi confiance.	Но добавлять туда свои — плохая идея... Я знаю.	Don't just try adding your own though... trust me.
Conversations/Festival Lines/Dell/spring_festival/made_tea/init	Celine helped me gather the flowers that go into tea! They're yummy.	Céline m'a aidée à cueillir les fleurs qui parfument ce thé ! Elles sont super bonnes.	Селин помогла мне собрать цветы для чая! Они вкусненькие.	Celine helped me gather the flowers that go into tea! They're yummy.
Conversations/Festival Lines/Dozy/animal_festival/animal_festival_0/init	(Dozy seems to be practicing different cool expressions and poses. You probably shouldn't disturb him.)	(Dozy semble s'entraîner à prendre des poses et des expressions différentes. Mieux vaudrait ne pas le déranger.)	(Кажется, Дрёма тренируется принимать красивые позы и выражения лица. Лучше ему не мешать.)	(Dozy seems to be practicing different cool expressions and poses. You probably shouldn't disturb him.)
Conversations/Festival Lines/Dozy/animal_festival/animal_festival_1/init	(Dozy looks like he's having a good time.)	(Dozy a l'air de bien s'amuser.)	(Дрёма сегодня выглядит довольным.)	(Dozy looks like he's having a good time.)
Conversations/Festival Lines/Dozy/animal_festival/animal_festival_anticipation/init	(Dozy seems excited. Maybe about the upcoming Animal Festival?)	(Dozy semble excité. Peut-être à cause de la fête des animaux qui approche ?)	(Дрёма выглядит взволнованным. Может, это из-за предстоящего Фестиваля животных?)	(Dozy seems excited. Maybe about the upcoming Animal Festival?)
Conversations/Festival Lines/Dozy/animal_festival/animal_festival_dozy_third_place/init	(Dozy seems happy.)	(Dozy semble heureux.)	(Дрёма выглядит довольным.)	(Dozy seems happy.)
Conversations/Festival Lines/Dozy/harvest_festival/harvest_festival_0/init	(Judging by Dozy's purple muzzle, $Queen Berries$ are dog safe.)	(À en juger par les babines toutes violettes de Dozy, les $baies de la reine$ sont comestibles pour les chiens.)	(Судя по фиолетовой мордашке Дрёмы, собакам $королевские ягоды$ не запрещены.)	(Judging by Dozy's purple muzzle, $Queen Berries$ are dog safe.)
Conversations/Festival Lines/Dozy/shooting_star/shooting_star_evening/init	(Dozy appears to be enjoying the stars.)	(Dozy semble apprécier les étoiles.)	(Кажется, Дрёма любуется звёздами.)	(Dozy appears to be enjoying the stars.)
Conversations/Festival Lines/Dozy/spring_festival/enjoying/init	(Dozy seems to be wishing you a nice Spring Festival.)	(On dirait que Dozy vous souhaite une belle fête du printemps.)	(Кажется, Дрёма желает вам приятного Фестиваля весны.)	(Dozy seems to be wishing you a nice Spring Festival.)
Conversations/Festival Lines/Eiland/animal_festival/animal_festival_0/init	Be sure to get yourself a snack, [Ari]. Reina's outdone herself with how cute and tasty they all are!	Surtout, prends un encas, [Ari]. Reina s'est surpassée et ils sont tous plus appétissants et plus délicieux les uns que les autres !	Обязательно зайди за сладким, [Ari]. Там всё такое милое и вкусное, Рейна просто превзошла саму себя!	Be sure to get yourself a snack, [Ari]. Reina's outdone herself with how cute and tasty they all are!
Conversations/Festival Lines/Eiland/animal_festival/animal_festival_chicken_cutout/1	Imagine posing like this in a famous portrait or statue!	Imagine un peu poser comme ça dans un portrait ou une statue célèbre !	Представь, какого будет позировать в виде известного портрета или статуи!	Imagine posing like this in a famous portrait or statue!
Conversations/Festival Lines/Eiland/animal_festival/animal_festival_chicken_cutout/init	These are rather cute, aren't they? I should commission some similar ones for the Museum from Ryis!	C'est mignon, ces silhouettes, non ? Je devrais en commander des comme ça à Ryis, pour le musée !	Милые штучки, да? Мне стоит заказать у Риза такие же для музея.	These are rather cute, aren't they? I should commission some similar ones for the Museum from Ryis!
Conversations/Festival Lines/Eiland/animal_festival/animal_festival_first/init	Congratulations! Today is a historic day for the annals of [farm_name] ranching.	Félicitations ! C'est une journée historique dans les annales de l'élevage de la ferme [farm_name].	Поздравляю! Для фермы «[farm_name]» этот день войдёт историю.	Congratulations! Today is a historic day for the annals of [farm_name] ranching.
Conversations/Festival Lines/Eiland/harvest_festival/harvest_festival_0/1	This festival is actually one of Mistria's oldest...	Cette fête est l'une des plus vieilles traditions de Mistria...	Кстати, это один из самых старых фестивалей в Мистрии...	This festival is actually one of Mistria's oldest...
Conversations/Festival Lines/Eiland/harvest_festival/harvest_festival_0/2	The story goes that long ago, an ancient queen was separated from her sworn love during a time of war.	D'après les histoires, une souveraine d'il y a fort longtemps se retrouva séparée de l'amour de sa vie en période de guerre.	Говорят, что давным-давно одну королеву с её возлюбленным разлучила война.	The story goes that long ago, an ancient queen was separated from her sworn love during a time of war.
Conversations/Festival Lines/Eiland/harvest_festival/harvest_festival_0/3	She conjured the first $Queen Berries$ from the ashes left in the wake of the final battle-	Elle fit pousser la première $baie de la reine$ sur les cendres du lieu où s'est déroulée la bataille finale...	Тогда она сотворила первые $королевские ягоды$ из пепла, оставшегося от последней битвы...	She conjured the first $Queen Berries$ from the ashes left in the wake of the final battle-
Conversations/Festival Lines/Eiland/harvest_festival/harvest_festival_0/4	And bade them to return here briefly each autumn.	Et elle les implora de réapparaître fugacement à l'automne.	И закляла их возвращаться ненадолго каждой осенью.	And bade them to return here briefly each autumn.
Conversations/Festival Lines/Eiland/harvest_festival/harvest_festival_0/5	In that way, she could immortalize the sweetness of her lost love...	Ce fut sa façon de perpétuer la douceur de son amour perdu...	Таким образом она запечатлела в веках сладкий вкус своей утраченной любви...	In that way, she could immortalize the sweetness of her lost love...
Conversations/Festival Lines/Eiland/harvest_festival/harvest_festival_0/6	...	...	...	...
Conversations/Festival Lines/Eiland/harvest_festival/harvest_festival_0/7	It's hard to say exactly when the feasting and dancing entered the equation...	En revanche, il est difficile de déterminer quand le banquet et le bal ont fait partie intégrante de la fête...	Трудно сказать, когда к этому добавились танцы и пир...	It's hard to say exactly when the feasting and dancing entered the equation...
Conversations/Festival Lines/Eiland/harvest_festival/harvest_festival_0/init	Ah, [Ari]. It's another Harvest Festival to remember, isn't it?	Ah, [Ari]. Encore une fête des récoltes dont nous nous souviendrons, n'est-ce pas ?	А, [Ari]. Вот и ещё один Фестиваль урожая дополнил нашу историю.	Ah, [Ari]. It's another Harvest Festival to remember, isn't it?
Conversations/Festival Lines/Eiland/harvest_festival/harvest_festival_anticipation/1	I hope you've been collecting lots of $Queen Berries$ for it!	J'espère que tu as cueilli tout plein de $baies de la reine$ !	Надеюсь, ты <p>набрали</p><f>набрала</f><m>набрал</m><n>набрало</n> много королевских ягод!	I hope you've been collecting lots of $Queen Berries$ for it!
Conversations/Festival Lines/Eiland/harvest_festival/harvest_festival_anticipation/2	I promise you that a slice of =Queen Berry Pie= is definitely worth all the work!	Je peux te garantir qu'une part de =tarte aux baies de la reine= vaut bien tous les efforts consentis pour les récolter !	Я тебе обещаю, что кусок =пирога из королевских ягод= стоит твоих стараний!	I promise you that a slice of =Queen Berry Pie= is definitely worth all the work!
Conversations/Festival Lines/Eiland/harvest_festival/harvest_festival_anticipation/init	Ah, [Ari]! Have you heard that the $Harvest Festival$ is coming up?	Ah, [Ari] ! Tu sais que la $fête des récoltes$ approche à grands pas, hein ?	А, [Ari]! Уже знаешь, что скоро наступает $Фестиваль урожая$?	Ah, [Ari]! Have you heard that the $Harvest Festival$ is coming up?
Conversations/Festival Lines/Eiland/harvest_festival/harvest_festival_place_follow_up/1	Most years I lead the berry hunting pack, but I can't say I mind the competition.	Très longtemps, j'ai dominé la cueillette de baies, mais je n'ai rien contre un peu de concurrence.	Обычно во главе отряда по поиску ягод оказываюсь я, но я вовсе не против конкуренции.	Most years I lead the berry hunting pack, but I can't say I mind the competition.
Conversations/Festival Lines/Eiland/harvest_festival/harvest_festival_place_follow_up/2	After all, we all get to enjoy the benefits of more $Queen Berries$!	Après tout, personne ne se plaindra d'une récolte plus importante de $baies de la reine$ !	В конце концов, если $королевских ягод$ будет больше, это будет всем на пользу!	After all, we all get to enjoy the benefits of more $Queen Berries$!
Conversations/Festival Lines/Eiland/harvest_festival/harvest_festival_place_follow_up/init	Wonderful work, [Ari]!	Très beau travail, [Ari] !	Потрясающая работа, [Ari]!	Wonderful work, [Ari]!
Conversations/Festival Lines/Eiland/shooting_star/shooting_star_8h_follow_up/1	I hope we can do it again next year.	J'espère qu'on pourra le refaire l'année prochaine.	Надеюсь, у нас получится пойти вместе в следующем году.	I hope we can do it again next year.
Conversations/Festival Lines/Eiland/shooting_star/shooting_star_8h_follow_up/init	I had a wonderful time last night, [Ari].	J'ai passé un moment merveilleux hier soir, [Ari].	Вчера была совершенно чудесная ночь, [Ari].	I had a wonderful time last night, [Ari].
Conversations/Festival Lines/Eiland/shooting_star/shooting_star_adeline_follow_up_eiland/init	Adeline seems a little bit distracted today... I wonder why?	Adeline avait l'air un peu distraite aujourd'hui... Je me demande pourquoi.	Аделина сегодня слегка рассеянна... Интересно, почему?	Adeline seems a little bit distracted today... I wonder why?
Conversations/Festival Lines/Eiland/shooting_star/shooting_star_anticipation/1	There's something uniquely romantic about a festival that predates written records.	Il y a quelque chose d'incroyablement romantique dans une fête qui existait bien avant les archives écrites.	Есть что-то особенно романтичное в фестивале, зародившемся до письменных источников.	There's something uniquely romantic about a festival that predates written records.
Conversations/Festival Lines/Eiland/shooting_star/shooting_star_anticipation/2	Though I admit there are elements of the tradition I've yet to experience myself.	Même si je dois admettre qu'il y a dans cette tradition des éléments dont je n'ai encore jamais fait l'expérience.	Хотя, признаюсь, некоторые элементы этой традиции я ещё не испытал лично.	Though I admit there are elements of the tradition I've yet to experience myself.
Conversations/Festival Lines/Eiland/shooting_star/shooting_star_anticipation/init	Oh, [Ari]! I was just brushing up on the history of the Shooting Star Festival.	Oh, [Ari] ! Je rafraîchissais mes connaissances sur l'histoire de la fête des étoiles filantes.	О, [Ari]! Я как раз решил освежить свои знания об истории Фестиваля падающих звёзд.	Oh, [Ari]! I was just brushing up on the history of the Shooting Star Festival.
Conversations/Festival Lines/Eiland/shooting_star/shooting_star_follow_up/1	I was actually just thinking about you.	J'étais justement en train de penser à toi.	Я как раз думал о тебе.	I was actually just thinking about you.
Conversations/Festival Lines/Eiland/shooting_star/shooting_star_follow_up/2	Thank you for last night. I had a great time!	Merci pour hier soir. J'ai passé un super moment !	Спасибо тебе за прошлую ночь. Мне очень понравилось!	Thank you for last night. I had a great time!
Conversations/Festival Lines/Eiland/shooting_star/shooting_star_follow_up/init	Oh, [Ari]!	Oh, [Ari] !	О, [Ari]!	Oh, [Ari]!
Conversations/Festival Lines/Eiland/shooting_star/shooting_star_follow_up_not_invited/1	Weren't the stars last night just magical?	Est-ce que les étoiles n'étaient pas magiques, la nuit dernière ?	Звёзды вчера были просто волшебные, правда?	Weren't the stars last night just magical?
Conversations/Festival Lines/Eiland/shooting_star/shooting_star_follow_up_not_invited/init	Hi, [Ari]!	Salut, [Ari] !	Привет, [Ari]!	Hi, [Ari]!
Conversations/Festival Lines/Eiland/shooting_star/shooting_star_invited/init	[Ari]! May I escort you to the Summit now? If you're ready, of course.	[Ari] ! Est-ce que je peux t'escorter jusqu'au sommet ? Si c'est le bon moment pour toi, bien sûr.	[Ari]! Позволишь мне проводить тебя до Вершины? Если ты <p>готовы</p><f>готова</f><m>готов</m><n>готово</n>, конечно.	[Ari]! May I escort you to the Summit now? If you're ready, of course.
Conversations/Festival Lines/Eiland/shooting_star/shooting_star_invited_anticipation/init	Tonight will be fun. I'll see you at 8 pm?	Ce sera sympa, ce soir. On se retrouve à 20 h ?	Сегодня будет хорошая ночь. Увидимся в 8 вечера?	Tonight will be fun. I'll see you at 8 pm?
Conversations/Festival Lines/Eiland/shooting_star/shooting_star_missed_follow_up/1	I wondered if maybe something came up last night...	Je me demandais si tu avais eu un imprévu, hier soir...	Я беспокоюсь, вдруг вчера у тебя что-то случилось...	I wondered if maybe something came up last night...
Conversations/Festival Lines/Eiland/shooting_star/shooting_star_missed_follow_up/init	Ah, [Ari]... Is everything alright?	Ah, [Ari]... Tout va bien ?	А, [Ari]... Всё в порядке?	Ah, [Ari]... Is everything alright?
Conversations/Festival Lines/Eiland/shooting_star/shooting_star_not_invited/1	Just think! This view has been shared by all the Mistrians that have come before us...	Imagine ! Tous les Mistriens qui nous ont précédés ont admiré le même spectacle que nous...	Только представь: эти же звёзды наблюдали все мистрийцы, жившие до нас...	Just think! This view has been shared by all the Mistrians that have come before us...
Conversations/Festival Lines/Eiland/shooting_star/shooting_star_not_invited/init	The Shooting Star Festival is a rather romantic tradition, isn't it?	La fête des étoiles filantes est une tradition très romantique, non ?	Фестиваль падающих звёзд — довольно романтичная традиция, правда?	The Shooting Star Festival is a rather romantic tradition, isn't it?
Conversations/Festival Lines/Eiland/shooting_star/shooting_star_romantic_follow_up_A/1	You're always going out of your way to bring me nice treats and I've been wanting to return the favor...	Tu te démènes toujours pour m'apporter de délicieuses douceurs et je voulais te rendre la pareille...	Ты всегда стараешься угостить меня, и я подумал, что теперь моя очередь...	You're always going out of your way to bring me nice treats and I've been wanting to return the favor...
Conversations/Festival Lines/Eiland/shooting_star/shooting_star_romantic_follow_up_A/2	It's not much, but I did make it myself! I hope you enjoy it!	Ce n'est pas grand-chose, mais je l'ai fait moi-même ! J'espère que ça te plaira !	Тут не очень много, но зато я сам готовил! Надеюсь, тебе понравится!	It's not much, but I did make it myself! I hope you enjoy it!
Conversations/Festival Lines/Eiland/shooting_star/shooting_star_romantic_follow_up_A/init	[Ari]! Hello!	[Ari] ! Bonjour !	[Ari]! Привет!	[Ari]! Hello!
Conversations/Festival Lines/Eiland/shooting_star/shooting_star_romantic_follow_up_B/1	Maybe it's all the fresh air? You always seem to have a certain glow.	C'est peut-être le grand air ? Tu sembles toujours avoir un certain éclat.	Может, это свежий воздух? Ты всегда будто светишься.	Maybe it's all the fresh air? You always seem to have a certain glow.
Conversations/Festival Lines/Eiland/shooting_star/shooting_star_romantic_follow_up_B/init	You look nice today, [Ari]!	Tu es très en beauté, aujourd'hui, [Ari] !	Выглядишь сегодня отлично, [Ari]!	You look nice today, [Ari]!
Conversations/Festival Lines/Eiland/spring_festival/first_place/1	And I mean that literally, since I'll be writing the entry myself.	Et je peux te l'affirmer avec certitude, puisque c'est moi qui rédigerai cette entrée en personne.	И я говорю это буквально, потому что я лично внесу эту запись.	And I mean that literally, since I'll be writing the entry myself.
Conversations/Festival Lines/Eiland/spring_festival/first_place/init	Your placement in the Spring Festival is one for the history books, [Ari].	Ton classement à la fête du printemps restera dans les annales, [Ari].	Твоя победа в Фестивале весны войдёт в историю, [Ari].	Your placement in the Spring Festival is one for the history books, [Ari].
Conversations/Festival Lines/Eiland/spring_festival/roots_of_festival/1	Which just goes to show you that folks of any era love to have a good time!	Tout cela pour dire que quelle que soit l'époque, les gens aiment s'amuser !	Это лишь подтверждает, что в любую эпоху людям нравится хорошо отдыхать!	Which just goes to show you that folks of any era love to have a good time!
Conversations/Festival Lines/Eiland/spring_festival/roots_of_festival/init	While the roots of Spring Festival are a bit murky, there's no arguing that it's been held in Mistria for untold generations.	Bien que les racines de la fête du printemps soient un peu obscures, il est indéniable qu'elle se tient à Mistria depuis un nombre incalculable de générations.	Хотя корни Фестиваля весны весьма туманны, доподлинно известно, что его праздновали многие поколения мистрийцев.	While the roots of Spring Festival are a bit murky, there's no arguing that it's been held in Mistria for untold generations.
Conversations/Festival Lines/Elsie/animal_festival/animal_festival_0/init	This is all rather more charming than I expected! The Capital doesn't have anything like this.	Tout cela est bien plus charmant que je ne m'y attendais ! Il n'existe rien de tel à la capitale.	Выглядит даже более очаровательно, чем я предполагала! В столице ничего подобного не увидишь.	This is all rather more charming than I expected! The Capital doesn't have anything like this.
Conversations/Festival Lines/Elsie/harvest_festival/harvest_festival_0/1	It's a perfect day for it!	C'est la journée idéale pour cela !	Сегодня — самый подходящий день!	It's a perfect day for it!
Conversations/Festival Lines/Elsie/harvest_festival/harvest_festival_0/init	Are you planning to ask anyone to dance, [Ari]?	Tu as l'intention d'inviter quelqu'un à danser, [Ari] ?	Собираешься пригласить кого-нибудь на танец, [Ari]?	Are you planning to ask anyone to dance, [Ari]?
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_adeline_8h_follow_up_elsie/init	Take good care of Adeline, dear. You mean the world to her.	Prends bien soin d'Adeline, mon chou. Tu es tout pour elle.	Позаботься об Аделине как следует, дорогуша. Ты для неё важнее всех на свете.	Take good care of Adeline, dear. You mean the world to her.
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_adeline_follow_up_elsie/init	My, Adeline has had a smile on her lips all day, [Ari]. I'm glad you two had a nice evening.	Eh bien, Adeline a eu le sourire aux lèvres toute la journée, [Ari]. Je suis ravie que vous ayez passé une bonne soirée ensemble.	[Ari], дорогуша, у Аделины весь день улыбка с лица не сходит. Я рада, что вы вчера хорошо провели вечер.	My, Adeline has had a smile on her lips all day, [Ari]. I'm glad you two had a nice evening.
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_adeline_invited_anticipation_elsie/init	Ahh, so you invited my dear Adeline? I'm glad to hear it. Have a nice time!	Ah, tu as donc invité ma petite Adeline ? Je suis contente de l'apprendre. Passez un bon moment !	А, ты <p>пригласили</p><f>пригласила</f><m>пригласил</m><n>пригласило</n> мою родную Аделину? Приятно слышать. Хорошего вам вечера!	Ahh, so you invited my dear Adeline? I'm glad to hear it. Have a nice time!
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_anticipation/1	Is there anyone special you're thinking of inviting to watch the stars?	Y a-t-il quelqu'un en particulier que tu envisages d'inviter pour contempler les étoiles ?	У тебя есть кто-то особенный, с кем ты хочешь посмотреть на звёзды?	Is there anyone special you're thinking of inviting to watch the stars?
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_anticipation/init	The Shooting Star Festival is coming up soon...	La fête des étoiles filantes approche...	Скоро начнётся Фестиваль падающих звёзд...	The Shooting Star Festival is coming up soon...
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_anticipation_no_summit/1	It's a shame that the Summit is still inaccessible. $It was a great date spot$...	Quel dommage que le sommet ne soit toujours pas accessible ! $C'était un lieu parfait pour les rendez-vous galants$...	Жаль, что на Вершину до сих пор нет прохода. $Там было отличное место для свиданий$...	It's a shame that the Summit is still inaccessible. $It was a great date spot$...
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_anticipation_no_summit/2	But I'm sure it will still be a nice time without that aspect, right?	Mais je suis sûre que ça restera un bon moment même sans cela, non ?	Но я уверена, что все и так хорошо проведут время, правда?	But I'm sure it will still be a nice time without that aspect, right?
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_anticipation_no_summit/init	The Shooting Star Festival is coming up soon...	La fête des étoiles filantes approche...	Скоро начнётся Фестиваль падающих звёзд...	The Shooting Star Festival is coming up soon...
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_balor_8h_follow_up_elsie/1	The stars must have aligned to bring you both to Mistria.	Les planètes ont dû s'aligner pour vous faire venir tous les deux à Mistria.	Не иначе как звёзды сошлись, чтобы вы вдвоём встретились в Мистрии.	The stars must have aligned to bring you both to Mistria.
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_balor_8h_follow_up_elsie/init	You and Balor make a lovely couple.	Balor et toi faites un couple adorable.	Вы с Балором необычайно милая парочка.	You and Balor make a lovely couple.
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_balor_follow_up_elsie/1	Although he's hard to read at times, I know he has a good heart.	Il a beau être un peu compliqué par moments, je sais qu'il a bon cœur.	Временами его сложно понять, но я знаю, что у него доброе сердце.	Although he's hard to read at times, I know he has a good heart.
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_balor_follow_up_elsie/init	Did you have a nice time with Balor, dear?	As-tu passé un bon moment avec Balor, mon chou ?	Ты хорошо <p>провели</p><f>провела</f><m>провёл</m><n>провело</n> время с Балором, дорогуша?	Did you have a nice time with Balor, dear?
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_balor_invited_anticipation_elsie/init	So you invited Balor, you say? That's lovely, I hope you two have fun!	Tu as invité Balor, dis-tu ? C'est charmant, j'espère que vous avez passé un bon moment !	Так ты <p>пригласили</p><f>пригласила</f><m>пригласил</m><n>пригласило</n> Балора? Чудно, надеюсь, вы хорошо проведёте время!	So you invited Balor, you say? That's lovely, I hope you two have fun!
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_caldarus_8h_follow_up_elsie/1	Good, I'm glad to hear it!	Bien, je suis ravie de l'entendre !	Отлично, очень за тебя рада!	Good, I'm glad to hear it!
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_caldarus_8h_follow_up_elsie/init	Oh, [Ari]! Did you have a nice time watching the stars yesterday?	Oh, [Ari] ! Tu as passé un bon moment en regardant les étoiles, hier ?	О, [Ari]! Тебе понравилось вчера смотреть на звёзды?	Oh, [Ari]! Did you have a nice time watching the stars yesterday?
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_caldarus_follow_up_elsie/1_eog	What's that? You went with Caldarus...?			What's that? You went with Caldarus...?
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_caldarus_follow_up_elsie/1_n	What's that? It's a secret...?	Comment ? C'est un secret...?	Что? Это тайна...?	What's that? It's a secret...?
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_caldarus_follow_up_elsie/2_eog	My, a date with a dragon... how thrilling!			My, a date with a dragon... how thrilling!
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_caldarus_follow_up_elsie/2_n	My, how thrilling!	Ça alors, comme c'est intrigant !	Ох, как волнительно!	My, how thrilling!
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_caldarus_follow_up_elsie/3_eog	You don't suppose he has an older brother, do you?			You don't suppose he has an older brother, do you?
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_caldarus_follow_up_elsie/4_eog	Hehe!			Hehe!
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_caldarus_follow_up_elsie/init	Oh, [Ari]! Did you end up inviting someone to see the stars yesterday?	Oh, [Ari] ! As-tu fini par inviter quelqu'un à regarder les étoiles, hier ?	О, [Ari]! Ты вчера кого-нибудь <p>пригласили</p><f>пригласила</f><m>пригласил</m><n>пригласило</n> смотреть на звёзды?	Oh, [Ari]! Did you end up inviting someone to see the stars yesterday?
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_celine_8h_follow_up_elsie/1	I couldn't be happier for you!	Je suis plus qu'heureuse pour vous !	Я за вас просто счастлива!	I couldn't be happier for you!
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_celine_8h_follow_up_elsie/init	How lovely that you and Celine have found each other.	C'est si mignon que vous vous soyez <he>trouvés</he><she>trouvées</she><they>trouvé·e·s</they>, Céline et toi.	Я так рада, что вы с Селин нашли друг друга.	How lovely that you and Celine have found each other.
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_celine_follow_up_elsie/init	Did you have a nice time with Celine, dear? She's a sweet girl, be sure to treat her well.	As-tu passé un bon moment avec Céline, mon chou ? C'est une gentille fille, prends bien soin d'elle, surtout.	Ты хорошо <p>провели</p><f>провела</f><m>провёл</m><n>провело</n> время с Селин, дорогуша? Очень милая девушка, будь с ней повнимательнее.	Did you have a nice time with Celine, dear? She's a sweet girl, be sure to treat her well.
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_celine_invited_anticipation_elsie/init	Celine is your date for the night? Ah, how sweet. I hope you have a nice time!	C'est avec Céline que tu as rendez-vous ce soir ? Oh, comme c'est mignon. J'espère que vous passerez un agréable moment !	Сегодня для свидания ты <p>выбрали</p><f>выбрала</f><m>выбрал</m><n>выбрало</n> Селин? Ах, как мило. Желаю вам хорошо провести время!	Celine is your date for the night? Ah, how sweet. I hope you have a nice time!
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_eiland_8h_follow_up_elsie/init	Take good care of Eiland, dear. You mean the world to him.	Prends bien soin d'Eiland, mon chou. Tu es tout pour lui.	Позаботься об Эйланде как следует, дорогуша. Ты для него важнее всех на свете.	Take good care of Eiland, dear. You mean the world to him.
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_eiland_follow_up_elsie/init	Well well, Eiland certainly seems in high spirits today. Did you two have a nice evening together?	Tiens, tiens, Eiland semble d'excellente humeur, aujourd'hui. Avez-vous passé une bonne soirée ensemble ?	Ну-ну, Эйланд сегодня явно в приподнятом настроении. Вы хорошо провели вчерашний вечер?	Well well, Eiland certainly seems in high spirits today. Did you two have a nice evening together?
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_eiland_invited_anticipation_elsie/init	Ahh, so you invited Eiland to watch the stars tonight? I'm glad to hear it. Have a nice time!	Ah, tu as donc invité Eiland à regarder les étoiles ce soir ? Je suis contente de l'apprendre. Passez un bon moment !	А, ты <p>пригласили</p><f>пригласила</f><m>пригласил</m><n>пригласило</n> Эйланда? Рада слышать. Хорошего вам вечера!	Ahh, so you invited Eiland to watch the stars tonight? I'm glad to hear it. Have a nice time!
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_evening/1	Maybe I should host a viewing party for some old friends one of these years.	Je devrais peut-être organiser une petite réception avec quelques vieux amis pour les admirer, à l'occasion.	Может, в какой-нибудь год мне позвать старых друзей посмотреть на звёзды.	Maybe I should host a viewing party for some old friends one of these years.
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_evening/init	The stars really do look more beautiful here than back home.	Les étoiles sont bien plus belles ici que là où je vivais autrefois.	Звёзды здесь и правда красивее, чем дома.	The stars really do look more beautiful here than back home.
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_hayden_follow_up_elsie/1	I'm glad to hear it!	Je suis ravie de l'entendre !	Очень рада слышать!	I'm glad to hear it!
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_hayden_follow_up_elsie/init	Did you and Hayden have a nice evening together?	Avez-vous passé une bonne soirée, Hayden et toi ?	Вы с Хейденом хорошо провели вечер?	Did you and Hayden have a nice evening together?
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_hayden_invited_anticipation_elsie/init	You're going to watch the stars with Hayden tonight? Ohhh, I hope you two have a nice time!	Tu vas contempler les étoiles avec Hayden, ce soir ? Oooh, j'espère que vous passerez un bon moment !	Ты собираешься смотреть на звёзды с Хейденом? О-о-о, желаю вам хорошего вечера!	You're going to watch the stars with Hayden tonight? Ohhh, I hope you two have a nice time!
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_juniper_follow_up_elsie/1	I'm glad to hear it!	Je suis ravie de l'entendre !	Очень рада слышать!	I'm glad to hear it!
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_juniper_follow_up_elsie/init	Did you and Juniper have a nice evening together?	Avez-vous passé une bonne soirée, Juniper et toi ?	Вы с Джунипер хорошо провели вечер?	Did you and Juniper have a nice evening together?
Conversations/Festival Lines/Elsie/shooting_star/shooting_star_juniper_invited_anticipation_elsie/1	And she said yes...?	Et elle a accepté...?	И она согласилась...?	And she said yes...?
